,"['dim_reduction_after', 'n_clusters']=(False, 3)","['dim_reduction_after', 'n_clusters']=(True, 3)"
0,0.26513532299912396,0.26954955466433833
1,0.27331722949803483,0.2751448354169642
2,0.28689741865988166,0.28727383092555864
3,0.27041517451568065,0.27276397961264764
4,0.2694868344769333,0.27082489697413437
5,0.2721916358791537,0.27533620041078777
6,0.264511539530355,0.2667377508285516
7,0.25745063187223305,0.259411643540912
8,0.25443668958354604,0.25699508583541264
9,0.2694916002148649,0.27045077138423534
mean,0.2683334077229807,0.2704488549593542

Max mean silhouette_score:,0.2704488549593542
Max mean Generated by:,"(True, 3)"
t-test p-value score:,0.0002370115927563624
