,"['dim_reduction_after', 'eps', 'min_samples', 'n_neighbors']=(False, 0.0007, 8, 50)","['dim_reduction_after', 'eps', 'min_samples', 'n_neighbors']=(False, 0.0007, 5, 50)"
0,0.20990118583072237,0.12426457016756973
1,0.1763848853292903,0.14334520564534353
2,0.18239051909291457,0.1723186046662155
3,0.14386550013082802,0.17531127097225346
4,0.18592672311491376,0.12169851613258562
5,0.18429538916678795,0.12934393153654838
6,0.15606698642156352,0.12398373648008033
7,0.14498796753193322,0.13282060859748085
8,0.1688999794965912,0.11570827812019543
9,0.1822242139712502,0.16079357613037742

Max mean silhouette_score:,0.1734943350086795
Max mean Generated by:,"(False, 0.0007, 8, 50)"
t-test p-value score:,0.010819261145108503
