,"['dim_reduction_after', 'eps', 'min_samples', 'n_neighbors']=(False, 12, 20, 50)","['dim_reduction_after', 'eps', 'min_samples', 'n_neighbors']=(False, 10, 10, 50)"
0,0.19253483764555956,0.16711052605502416
1,0.2183544290123551,0.1611387580955284
2,0.23134227149287967,0.22173115907266996
3,0.2072683645523488,0.21462734544627202
4,0.19245080398810982,0.148942897519637
5,0.204230657868641,0.2140235676011882
6,0.21291693374829637,0.14917887846280348
7,0.19417831924448908,0.13890848946567705
8,0.1796870747178421,0.1751797842016261
9,0.20817822196168242,0.14197773957738327

Max mean silhouette_score:,3.2562008121966497
Max mean Generated by:,"(False, 12, 20, 50)"
t-test p-value score:,0.009898694523732706
