,EigenMaps,PCA
0,0.7348508474500071,0.7017327699403222
1,0.8492352394400972,0.6687599392538457
2,0.7826254852559086,0.7338807835265597
3,0.8166500343803825,0.6510812234410954
4,0.7773201298500514,0.6823460026430712
5,0.7835889447578304,0.7173588350062042
6,0.810437127944607,0.6863546460097586
7,0.7644174834355688,0.7218288832285782
8,0.76343007382117,0.6647075488038345
9,0.7847131539126769,0.7177957759790397

Max mean mutual_info_score:,5.714883470193764
Max mean Generated by:,EigenMaps
t-test p-value score:,0.00028881717582901007
