,"['dim_reduction_after', 'n_clusters', 'n_neighbors']=(False, 3, 50)","['dim_reduction_after', 'n_clusters', 'n_neighbors']=(True, 3, 50)"
0,0.2673911087549174,0.24851058413223576
1,0.2751448354169642,0.2531575795902024
2,0.28827602871602054,0.2833923445626946
3,0.26304308905949114,0.2626262731084468
4,0.2556199740401293,0.25708905168326507
5,0.25741704631887946,0.26912588395303766
6,0.25400003935300464,0.25159518859780267
7,0.2522426613558603,0.2492427932160123
8,0.250090327106728,0.2428607083971254
9,0.26665179529868027,0.25486119822604564
mean,0.26298769054206755,0.2572461605466868

Null hypothesis of t-test accepted with pvalue,0.09945460031144535
