,PCA,ISO
0,0.7201520231815597,0.7201520231815597
1,0.7870764023319349,0.7828734027124586
2,0.7826714367562064,0.7826714367562064
3,0.7833876632978802,0.7833876632978803
4,0.7455246367078578,0.7455246367078578
5,0.7144735794453263,0.7144735794453263
6,0.7656721296953468,0.7656721296953468
7,0.8076958007179046,0.8076958007179047
8,0.7763040094002582,0.7763040094002582
9,0.8290284092861562,0.8290284092861562
mean,0.7711986090820431,0.7707783091200955

Null hypothesis of t-test accepted with pvalue,0.3434363961379403
