,Hierarchical,DBSCAN,KMeans
0,0.8618972794401172,0.7348508474500071,0.7201520231815597
1,0.9334765045587946,0.8492352394400972,0.7870764023319349
2,0.7901783940293688,0.7826254852559086,0.7826714367562064
3,0.8389559460260636,0.8166500343803825,0.7833876632978802
4,0.8376824808394272,0.7773201298500514,0.7455246367078578
5,0.7132661690479064,0.7835889447578304,0.7144735794453263
6,0.8292306262193225,0.810437127944607,0.7656721296953468
7,0.8684020872938427,0.7644174834355688,0.8076958007179046
8,0.8360711445207654,0.76343007382117,0.7763040094002582
9,0.907130556022956,0.7847131539126769,0.8290284092861562

Max mean mutual_info_score:,0.8416291187998564
Max mean Generated by:,Hierarchical
t-test p-value score:,0.019446532343225204
